# HASH MANIFEST
Lead Engineer: Andrew C. Rogers (Sui-Generis)
Date: 2026-05-10
Generated At (UTC): 2026-05-10T11:01:15.506120Z
Scope: All files under docs/

SHA256 | FILE_PATH | CONTEMPORANEOUS_TIMESTAMP_UTC
--- | --- | ---
d8148e297d82d8057c891ebe92b553d36d25bbd8f896221d29eec8004bf1a719 | docs/01_QMS/README.md | 2026-05-10T11:01:15.317238Z
29e4212b8170a3606e00f77904b865cf6b9f3d044b6c76cf1cd8fcfdee7213ba | docs/01_QMS/SOP_PHARMACY_DATA_INTEGRITY_AUDIT.md | 2026-05-10T11:01:15.317435Z
fc4f3a8a7e084729a82d0353f2aed72a9e648e6514dae108f1a12f054fbf51c5 | docs/02_Specifications/DSCSA_Audit_Pitch.md | 2026-05-10T11:01:15.317570Z
b7ca40ea61c55e7bfaff2800472874d22deaf739224526db6079f40e7877d33e | docs/02_Specifications/README.md | 2026-05-10T11:01:15.317711Z
57da1d62e5a1e21fc9a370818e34cdb66db230f503e694648aa0ddf526dd7dd6 | docs/02_Specifications/TRACEABILITY_MATRIX.md | 2026-05-10T11:01:15.317859Z
83d20dedf773e064007446f8772682967176eeb095a2247ab445e844a9ed37ce | docs/03_Logic_Core/README.md | 2026-05-10T11:01:15.317981Z
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 | docs/03_Logic_Core/app/__init__.py | 2026-05-10T11:01:15.318099Z
838e6b77e51f9be605176950867548a4568b607be55a30676aeb4bdb75eb46c4 | docs/03_Logic_Core/app/__pycache__/__init__.cpython-312.pyc | 2026-05-10T11:01:15.318578Z
01a37f98cf7df5aab5352548da7c12549bc0d0bc558c46ade841dbb7f530584e | docs/03_Logic_Core/app/__pycache__/auth.cpython-312.pyc | 2026-05-10T11:01:15.402597Z
5c647aa599a7ab9e51f614b5020b94002b24bad8fc80717ab0a7dea123caf152 | docs/03_Logic_Core/app/__pycache__/database.cpython-312.pyc | 2026-05-10T11:01:15.448279Z
45932aeb5cd482d567d092368aa953e52681aa496cb1f2ca7b260a7d962b9760 | docs/03_Logic_Core/app/__pycache__/main.cpython-312.pyc | 2026-05-10T11:01:15.448576Z
